Date,Open,High,Low,Close,Volume
8/1/2012,317.46,318.56,314.51,173,186
8/2/2012,311.59,317.82,310.54,167,228
8/3/2012,318.81,320.66,316.88,185,203
8/6/2012,318.61,323.48,318.42,191,170
8/7/2012,319.7,320.93,317.05,183,231
8/8/2012,318.33,321.73,318.06,187,57
8/9/2012,321.05,321.98,319.56,188,22
8/10/2012,318.1,319.92,316.88,186,78
8/13/2012,322.5,328.84,322.13,206,459
8/14/2012,328.39,335.17,328.27,217,480
8/15/2012,333.89,335.87,330.81,213,355
8/16/2012,332.51,336.06,332.29,222,152
8/17/2012,335.8,337.36,334.6,226,295
8/20/2012,336.49,338.17,335.07,224,165
8/21/2012,335.3,337.73,329.85,219,310
8/22/2012,332.44,339.03,332.11,227,206
8/23/2012,335.88,338.97,334.25,225,171
8/24/2012,336.54,338.95,335.78,231,76
8/27/2012,330.26,334.75,328.39,218,387
8/28/2012,331.26,337.54,331.13,228,262
8/29/2012,337.42,343.21,336.81,248,425
8/30/2012,340.84,342.41,338.82,237,120
8/31/2012,340.72,343.0,338.75,243,280
9/4/2012,341.0,341.22,335.49,236,199
9/5/2012,338.73,341.97,338.3,235,146
9/6/2012,341.7,348.64,341.09,259,437
9/7/2012,348.69,354.8,347.53,267,457
9/10/2012,353.55,355.07,347.89,261,380
9/11/2012,347.68,349.02,344.21,253,197
9/12/2012,343.42,346.16,339.17,249,389
9/13/2012,345.25,353.18,343.98,266,391
9/14/2012,353.48,355.17,352.18,272,388
9/17/2012,352.73,355.11,351.18,273,96
9/18/2012,352.57,357.99,352.07,277,263
9/19/2012,357.41,362.92,356.87,285,444
9/20/2012,360.88,364.32,359.26,286,418
9/21/2012,364.74,366.09,363.7,288,16
9/24/2012,364.14,373.62,363.76,301,475
9/25/2012,375.12,381.02,372.43,300,14
9/26/2012,373.52,379.2,369.12,304,7
9/27/2012,378.56,380.0,374.42,312,486
9/28/2012,375.67,378.23,374.17,309,407
10/1/2012,378.11,381.07,376.69,316,449
10/2/2012,381.17,381.56,373.73,313,408
10/3/2012,376.45,380.53,374.7,317,306
10/4/2012,379.95,383.51,378.28,321,364
10/5/2012,383.92,385.74,381.08,320,401
10/8/2012,379.08,380.36,375.67,314,221
10/9/2012,378.42,379.24,369.88,296,428
10/10/2012,369.54,372.37,367.77,297,251
10/11/2012,375.04,377.83,373.74,303,349
10/12/2012,374.52,376.03,370.66,299,352
10/15/2012,369.58,370.53,363.99,293,431
10/16/2012,368.68,372.1,366.85,298,261
10/17/2012,370.59,376.76,368.75,310,327
10/18/2012,376.36,378.29,336.74,254,93
10/19/2012,351.47,352.03,334.75,239,91
10/22/2012,339.23,341.04,333.6,232,490
10/23/2012,334.75,342.38,334.75,234,421
10/24/2012,342.12,342.22,336.37,229,371
10/25/2012,338.73,339.73,335.5,230,351
10/26/2012,336.99,340.24,334.35,223,219
10/31/2012,338.66,339.23,336.24,233,99
11/1/2012,338.48,344.16,338.09,245,257
11/2/2012,346.1,346.48,342.4,247,338
11/5/2012,340.97,342.15,336.52,240,124
11/6/2012,341.46,341.97,337.51,238,108
11/7/2012,336.24,337.85,332.0,212,313
11/8/2012,333.85,334.49,324.4,201,385
11/9/2012,326.1,332.92,323.94,208,446
11/12/2012,330.64,333.65,329.2,211,72
11/13/2012,330.26,332.55,327.89,205,111
11/14/2012,329.1,329.85,324.04,202,136
11/15/2012,323.79,328.77,320.75,196,187
11/16/2012,321.79,325.29,316.81,195,468
11/19/2012,326.63,333.21,326.54,215,348
11/20/2012,333.5,337.73,331.04,220,269
11/21/2012,333.25,333.65,328.97,210,277
11/23/2012,333.73,333.75,331.81,214,4
11/26/2012,331.98,332.25,328.28,207,303
11/27/2012,328.85,336.24,327.77,221,373
11/28/2012,332.76,341.18,330.71,241,436
11/29/2012,342.61,345.65,339.73,252,406
11/30/2012,344.36,348.3,341.56,258,448
12/3/2012,349.81,351.63,345.76,255,298
12/4/2012,346.2,346.46,341.57,250,233
12/5/2012,344.78,345.95,339.89,246,191
12/6/2012,342.51,346.51,340.98,251,81
12/7/2012,346.2,347.14,339.94,242,209
12/10/2012,341.42,344.53,340.62,244,67
12/11/2012,343.71,349.65,342.58,256,398
12/12/2012,348.31,350.44,345.45,257,358
12/13/2012,356.62,356.9,348.47,263,469
12/14/2012,348.28,352.59,347.91,262,281
12/17/2012,351.43,359.61,350.7,279,434
12/18/2012,356.96,363.19,356.19,280,429
12/19/2012,359.01,360.15,357.0,278,208
12/20/2012,360.28,360.97,357.15,281,134
12/21/2012,355.65,358.07,353.93,276,472
12/24/2012,355.92,356.25,352.41,271,1
12/26/2012,352.71,355.11,349.89,270,34
12/27/2012,352.25,353.1,348.0,268,129
12/28/2012,349.53,352.14,348.7,260,71
12/31/2012,348.69,353.96,346.7,269,236
1/2/2013,358.37,362.14,356.94,282,378
1/3/2013,361.11,364.6,359.01,283,335
1/4/2013,363.31,369.35,362.48,290,403
1/7/2013,366.35,368.31,363.93,289,133
1/8/2013,366.4,366.78,360.86,287,139
1/9/2013,364.77,367.8,362.94,291,246
1/10/2013,370.03,371.11,365.38,294,183
1/11/2013,369.61,369.83,366.78,292,51
1/14/2013,367.12,369.71,359.83,282,413
1/15/2013,358.32,366.13,354.72,284,485
1/16/2013,359.85,360.82,355.5,275,245
1/17/2013,357.51,358.48,354.18,274,309
1/18/2013,353.85,355.05,349.36,265,456
1/22/2013,351.01,351.35,346.46,264,484
1/23/2013,366.62,373.1,366.52,295,12
1/24/2013,369.24,377.0,368.87,308,465
1/25/2013,373.98,377.82,373.72,305,311
1/28/2013,374.48,376.39,372.55,302,121
1/29/2013,371.98,377.06,371.88,306,161
1/30/2013,375.46,379.05,375.05,307,156
1/31/2013,373.85,377.4,373.72,311,123
2/1/2013,377.68,386.85,377.63,325,483
2/4/2013,382.41,383.8,377.72,315,435
2/5/2013,379.14,384.12,378.32,318,196
2/6/2013,378.12,385.04,377.83,322,266
2/7/2013,383.41,387.95,381.32,323,411
2/8/2013,388.61,391.87,388.32,333,432
2/11/2013,387.75,390.04,385.43,329,291
2/12/2013,389.42,392.48,388.23,327,189
2/13/2013,388.61,391.21,388.53,331,39
2/14/2013,388.41,392.9,387.43,334,158
2/15/2013,392.23,395.15,392.07,341,400
2/19/2013,396.51,401.99,396.16,356,422
2/20/2013,401.15,402.97,394.42,340,404
2/21/2013,397.51,401.22,394.13,345,471
2/22/2013,398.14,399.13,395.42,346,259
2/25/2013,399.65,402.7,393.77,339,330
2/26/2013,396.02,396.49,390.74,336,302
2/27/2013,395.92,400.87,394.08,347,247
2/28/2013,399.05,401.99,399.02,351,320
3/1/2013,397.41,402.06,396.59,354,294
3/4/2013,401.15,409.88,401.0,371,405
3/5/2013,412.92,418.51,412.9,381,489
3/6/2013,418.94,420.42,412.86,377,415
3/7/2013,415.47,416.75,413.24,379,258
3/8/2013,415.69,415.9,410.98,378,419
3/11/2013,414.29,418.28,414.2,380,112
3/12/2013,413.8,414.39,410.3,375,240
3/13/2013,412.4,413.79,409.62,374,128
3/14/2013,411.95,411.95,407.17,372,131
3/15/2013,407.72,408.62,405.15,367,445
3/18/2013,401.0,404.86,399.24,357,185
3/19/2013,404.11,408.1,401.72,363,273
3/20/2013,406.89,407.23,404.2,368,83
3/21/2013,404.13,406.93,403.41,362,84
3/22/2013,405.85,406.1,403.31,361,89
3/25/2013,404.69,408.09,401.9,360,149
3/26/2013,405.23,405.48,402.39,364,37
3/27/2013,401.83,401.99,399.17,353,289
3/28/2013,400.49,401.18,395.17,343,325
4/1/2013,396.02,399.63,395.14,350,173
4/2/2013,400.77,405.89,400.5,365,253
4/3/2013,405.21,405.58,398.84,355,159
4/4/2013,400.62,401.37,394.17,344,361
4/5/2013,391.56,392.03,386.75,332,467
4/8/2013,387.92,388.32,382.77,324,410
4/9/2013,386.3,390.41,385.11,326,286
4/10/2013,390.0,394.7,386.55,337,229
4/11/2013,394.96,395.07,390.57,338,248
4/12/2013,394.52,394.57,390.0,335,126
4/15/2013,391.51,397.01,387.06,328,363
4/16/2013,391.83,396.51,390.5,342,160
4/17/2013,391.91,393.94,387.6,330,250
4/18/2013,391.21,391.43,379.21,319,462
4/19/2013,383.14,400.22,381.7,348,10
4/22/2013,398.81,400.48,386.05,349,416
4/23/2013,399.0,406.23,398.69,358,326
4/24/2013,402.55,407.47,402.49,366,181
4/25/2013,406.6,406.71,402.31,359,234
4/26/2013,402.29,402.36,396.8,352,370
4/29/2013,400.13,409.81,400.0,369,329
4/30/2013,407.97,412.27,407.31,373,331
5/1/2013,410.09,410.82,406.66,370,80
5/2/2013,408.52,415.72,408.0,376,244
5/3/2013,416.92,421.82,416.44,382,374
5/6/2013,422.55,429.32,422.55,395,283
5/7/2013,429.89,430.32,423.75,390,222
5/8/2013,426.9,435.31,424.86,417,365
5/9/2013,433.79,438.19,432.49,411,301
5/10/2013,436.02,438.63,434.45,434,204
5/13/2013,437.8,439.59,435.06,428,79
5/14/2013,437.11,442.69,436.93,452,105
5/15/2013,446.08,456.48,445.34,493,488
5/16/2013,457.78,458.27,449.32,481,453
5/17/2013,453.31,455.04,448.58,490,409
5/20/2013,450.81,458.58,450.81,489,321
5/21/2013,452.31,454.13,447.13,488,232
5/22/2013,449.59,452.96,441.78,462,381
5/23/2013,436.86,443.32,435.37,442,322
5/24/2013,436.0,437.77,433.88,416,328
5/28/2013,440.1,444.4,438.56,438,318
5/29/2013,436.22,437.36,430.53,404,243
5/30/2013,433.34,437.81,431.59,409,279
5/31/2013,432.44,436.86,432.14,410,225
6/3/2013,434.87,435.35,425.91,402,367
6/4/2013,432.3,433.67,425.44,391,194
6/5/2013,429.64,433.1,426.96,393,276
6/6/2013,430.54,431.55,422.03,396,383
6/7/2013,433.58,438.36,431.04,432,396
6/10/2013,439.4,443.84,438.4,463,342
6/11/2013,440.33,441.84,438.12,433,164
6/12/2013,441.08,441.35,433.2,413,304
6/13/2013,432.87,438.19,431.13,425,264
6/14/2013,438.41,440.7,435.43,420,315
6/17/2013,437.97,443.05,437.5,447,285
6/18/2013,442.67,448.82,442.52,475,290
6/19/2013,449.0,453.72,447.07,476,420
6/20/2013,445.33,448.82,440.01,443,464
6/21/2013,442.51,443.28,434.9,436,487
6/24/2013,434.31,436.52,430.01,406,430
6/25/2013,436.99,438.2,430.64,400,379
6/26/2013,435.24,437.36,433.66,418,182
6/27/2013,437.76,440.69,436.69,426,213
6/28/2013,435.82,439.27,435.46,435,347
7/1/2013,441.57,444.37,440.85,456,155
7/2/2013,443.44,443.84,437.0,441,201
7/3/2013,438.31,442.92,437.61,448,20
7/5/2013,443.34,446.03,442.01,469,145
7/8/2013,447.93,451.44,446.87,484,226
7/9/2013,453.8,454.77,447.31,485,230
7/10/2013,450.04,453.87,448.51,486,147
7/11/2013,454.8,458.69,452.56,496,384
7/12/2013,458.28,459.78,455.91,497,382
7/15/2013,460.42,462.27,456.47,498,223
7/16/2013,461.83,462.25,455.24,495,232
7/17/2013,458.78,461.7,456.44,494,95
7/18/2013,457.78,458.28,449.91,491,479
7/19/2013,441.65,449.79,436.17,472,18
7/22/2013,449.32,454.63,446.83,492,417
7/23/2013,453.65,454.8,448.11,480,255
7/24/2013,451.94,453.45,448.67,477,267
7/25/2013,445.27,446.75,441.39,453,426
7/26/2013,441.84,443.33,439.35,444,169
7/29/2013,440.8,445.74,438.8,440,202
7/30/2013,441.08,446.13,438.79,466,162
7/31/2013,444.83,446.58,441.44,454,293
8/1/2013,445.83,450.59,445.83,482,282
8/2/2013,450.03,451.81,448.73,487,150
8/5/2013,451.0,451.07,447.92,483,56
8/6/2013,450.66,453.16,446.19,471,95
8/7/2013,445.85,447.55,442.88,465,70
8/8/2013,446.07,446.25,440.99,467,88
8/9/2013,443.62,446.09,443.34,464,58
8/12/2013,441.79,441.84,439.18,445,69
8/13/2013,441.76,442.59,436.46,437,75
8/14/2013,437.54,438.47,431.96,407,268
8/15/2013,430.61,430.85,427.4,392,195
8/16/2013,429.03,429.61,426.67,389,138
8/19/2013,427.25,434.37,427.12,398,174
8/20/2013,432.55,434.43,430.16,397,41
8/21/2013,433.7,436.82,431.63,405,163
8/22/2013,434.72,435.74,433.5,419,2
8/23/2013,437.28,437.36,433.25,408,23
8/26/2013,433.38,435.82,431.41,401,21
8/27/2013,428.2,430.25,422.37,385,157
8/28/2013,423.54,426.11,422.3,384,61
8/29/2013,422.95,428.58,422.71,387,85
8/30/2013,426.28,427.42,421.2,383,190
9/3/2013,425.58,431.48,425.38,394,256
9/4/2013,428.57,435.12,425.99,412,252
9/5/2013,435.12,438.3,434.18,430,54
9/6/2013,439.57,440.24,435.24,431,102
9/9/2013,440.21,443.21,439.56,458,42
9/10/2013,443.35,444.33,440.35,459,52
9/11/2013,442.61,446.81,441.39,470,117
9/12/2013,447.02,447.27,443.34,468,25
9/13/2013,445.58,446.17,440.77,461,60
9/16/2013,446.43,446.83,440.78,455,62
9/17/2013,442.05,442.54,438.86,446,46
9/18/2013,441.52,450.3,439.89,479,215
9/19/2013,451.3,451.3,446.03,474,114
9/20/2013,447.52,450.38,446.14,478,492
9/23/2013,446.4,449.11,440.95,449,168
9/24/2013,441.59,443.39,439.05,450,87
9/25/2013,441.62,441.62,436.17,427,130
9/26/2013,437.51,439.73,435.87,429,47
9/27/2013,435.78,437.12,434.03,424,45
9/30/2013,432.92,438.78,432.53,421,154
10/1/2013,438.48,442.18,438.38,451,142
10/2/2013,439.72,443.02,437.27,457,94
10/3/2013,442.34,445.38,434.42,422,278
10/4/2013,435.87,437.12,433.38,415,66
10/7/2013,432.11,435.36,430.44,399,55
10/8/2013,431.04,431.37,424.22,386,218
10/9/2013,426.54,429.71,419.92,388,390
10/10/2013,430.31,432.79,428.5,403,317
10/11/2013,431.4,435.11,431.03,414,73
10/14/2013,431.71,436.49,431.08,423,43
10/15/2013,436.24,441.16,435.37,439,109
10/16/2013,441.28,447.49,440.35,473,239
10/17/2013,444.83,446.78,441.21,460,491
10/18/2013,486.47,505.83,485.18,4,92
10/21/2013,503.84,507.6,497.91,0,478
10/22/2013,500.62,504.61,496.04,1,307
10/23/2013,498.63,515.44,498.45,18,393
10/24/2013,514.01,518.34,510.49,13,270
10/25/2013,512.49,512.49,503.48,7,249
10/28/2013,505.7,509.8,504.6,6,31
10/29/2013,507.65,516.53,504.86,25,116
10/30/2013,516.78,516.82,511.08,16,59
10/31/2013,512.54,518.82,510.07,17,127
11/1/2013,513.97,516.07,510.64,15,50
11/4/2013,513.82,514.26,509.11,14,30
11/5/2013,508.27,513.9,506.81,9,33
11/6/2013,510.89,511.58,505.79,11,3
11/7/2013,509.4,510.05,501.94,2,140
11/8/2013,502.49,507.35,502.37,8,53
11/11/2013,502.87,506.07,502.12,3,26
11/12/2013,501.97,506.88,500.62,5,40
11/13/2013,501.5,514.5,501.37,21,106
11/14/2013,515.03,517.93,513.25,24,32
11/15/2013,515.5,517.06,513.23,22,49
11/18/2013,515.94,522.41,512.7,19,167
11/19/2013,513.93,515.44,509.61,12,28
11/20/2013,513.05,514.75,508.27,10,5
11/21/2013,511.58,517.22,511.08,23,24
11/22/2013,514.78,516.15,512.69,20,44
11/25/2013,516.64,524.63,515.58,26,119
11/26/2013,522.34,528.77,519.52,31,324
11/27/2013,529.03,532.01,528.02,34,27
11/29/2013,529.1,531.32,527.75,32,38
12/2/2013,529.77,531.18,523.42,28,68
12/3/2013,523.51,529.73,522.55,27,139
12/4/2013,523.72,530.0,523.04,30,36
12/5/2013,526.63,527.85,523.58,29,29
12/6/2013,532.9,533.0,528.06,36,77
12/9/2013,533.5,539.13,532.02,40,86
12/10/2013,536.07,544.12,535.82,41,188
12/11/2013,541.67,543.62,535.58,39,148
12/12/2013,537.77,539.45,532.5,37,113
12/13/2013,535.69,536.14,526.97,33,288
12/16/2013,530.01,535.34,529.02,38,115
12/17/2013,534.41,538.36,532.2,35,97
12/18/2013,533.92,540.45,527.54,42,308
12/19/2013,538.37,543.96,537.53,43,135
12/20/2013,542.12,548.53,541.97,44,458
12/23/2013,551.85,555.82,550.5,46,153
12/24/2013,555.4,555.54,551.98,45,0
12/26/2013,554.92,557.41,552.27,47,63
12/27/2013,557.91,558.05,554.39,48,103
