Time (h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Vessel Weight(Wt:Kg),carbon dioxide percent in off-gas(CO2outgas:%)
51.2,1.1,0,0.0020818,14.069,69126,1.1974
71.0,1.1,0,0.0018863,15.273,82310,1.5672
80.0,1.1,0,0.0019465,14.499,86684,1.7558
45.2,1.1,0,0.0024449,13.263,67705,1.08
70.8,1.1,0,0.0018882,15.261,82171,1.5632
47.0,1.1,0,0.0022535,13.156,67941,1.1149
76.6,1.1,0,0.0020954,14.722,85568,1.6766
55.0,1.1,0,0.0018825,14.32,71592,1.2706
7.4,0.6,0,1.9156,13.401,62839,0.24224
39.4,0.9,0,0.0024247,12.165,67023,1.052
28.0,0.8,0,0.0028139,12.778,65914,0.79972
73.0,1.1,0,0.0018157,15.565,83698,1.6074
49.0,1.1,0,0.0023653,12.758,68214,1.1547
88.0,1.1,0,0.0011738,14.595,88808,1.8707
57.4,1.1,0,0.0019195,14.467,73164,1.3144
12.0,0.6,0,0.15862,11.835,63126,0.34413
22.4,0.7,0,0.024026,10.143,64811,0.62782
18.0,0.7,0,0.020201,11.87,63731,0.56179
87.4,1.1,0,0.0011158,14.726,88652,1.8622
1.4,0.6,0,1.2172,14.604,62620,0.11463
72.2,1.1,0,0.0019045,15.419,83144,1.5912
69.4,1.1,0,0.0018115,15.221,81225,1.5357
67.8,1.1,0,0.0017264,15.157,80124,1.5054
31.8,0.9,0,0.0029235,12.99,66260,0.88436
30.2,0.9,0,0.0030133,13.224,66119,0.84937
35.6,0.9,0,0.0027561,12.564,66637,0.97007
78.8,1.1,0,0.0021059,14.482,86306,1.7284
37.0,0.9,0,0.0027716,12.342,66776,1.0009
90.0,1.1,0,0.0012745,14.354,89357,1.9004
2.2,0.6,0,1.3523,14.509,62629,0.12453
76.2,1.1,0,0.0019887,14.829,85438,1.6677
20.8,0.7,0,0.032406,10.598,64239,0.54488
16.4,0.7,0,0.031608,12.149,63482,0.48895
7.8,0.6,0,1.8833,13.276,62861,0.25603
63.0,1.1,0,0.0018731,14.78,76878,1.4153
33.6,0.9,0,0.003013,12.679,66438,0.92619
94.0,1.1,0,0.0011803,14.65,90419,1.5767
59.4,1.1,0,0.001642,14.783,74475,1.3494
95.0,1.1,0,0.0011501,14.522,90676,1.5883
39.8,0.9,0,0.0023971,12.135,67063,1.0604
59.6,1.1,0,0.0016173,14.814,74604,1.3527
83.4,1.1,0,0.001185,14.854,87600,1.8075
29.4,0.8,0,0.0031725,12.406,66046,0.83174
78.6,1.1,0,0.0021018,14.523,86244,1.7237
29.6,0.8,0,0.0031034,12.41,66060,0.83619
89.6,1.1,0,0.0012102,14.481,89250,1.8943
57.6,1.1,0,0.0019047,14.479,73298,1.3181
24.8,0.7,0,0.0031719,12.267,65671,0.73387
73.8,1.1,0,0.001757,15.667,84253,1.6229
19.4,0.7,0,0.015077,11.689,63939,0.62561
28.8,0.8,0,0.0033848,12.493,66000,0.81806
48.0,1.1,0,0.0022198,12.947,68070,1.1343
88.6,1.1,0,0.0012085,14.54,88970,1.8795
19.6,0.7,0,0.014782,11.643,63971,0.63472
81.6,1.1,0,0.0012848,14.916,87115,1.7807
24.6,0.7,0,0.0031633,12.398,65641,0.72963
36.8,0.9,0,0.0028259,12.338,66756,0.99644
40.6,1.1,0,0.0025306,13.778,67152,0.99066
49.4,1.1,0,0.0022457,12.767,68273,1.1627
61.2,1.1,0,0.0018052,14.807,75670,1.3812
59.8,1.1,0,0.0016765,14.776,74735,1.356
70.4,1.1,0,0.001868,15.226,81897,1.5552
77.4,1.1,0,0.0021135,14.67,85845,1.6952
79.2,1.1,0,0.0020503,14.457,86429,1.7376
57.0,1.1,0,0.0019215,14.43,72898,1.307
25.2,0.8,0,0.0031004,12.982,65703,0.74232
60.6,1.1,0,0.0018097,14.754,75266,1.3702
44.8,1.1,0,0.0024112,13.341,67652,1.072
83.8,1.1,0,0.0011286,14.907,87699,1.8131
44.0,1.1,0,0.0022282,13.53,67547,1.0561
26.0,0.8,0,0.002941,12.912,65746,0.75902
84.2,1.1,0,0.0011257,14.912,87803,1.8186
58.0,1.1,0,0.0018267,14.554,73563,1.3254
89.0,1.1,0,0.0012098,14.55,89083,1.8854
75.4,1.1,0,0.0015468,15.189,85203,1.6531
58.4,1.1,0,0.0017159,14.65,73825,1.3324
71.2,1.1,0,0.0018742,15.324,82449,1.5712
59.0,1.1,0,0.0016658,14.734,74215,1.3426
79.4,1.1,0,0.0020297,14.458,86491,1.7422
68.2,1.1,0,0.0018104,15.144,80399,1.5129
22.6,0.7,0,0.023738,10.058,64895,0.63848
36.0,0.9,0,0.002671,12.538,66677,0.97862
61.6,1.1,0,0.0018288,14.781,75937,1.3885
86.6,1.1,0,0.0010953,14.795,88431,1.8514
97.6,1.1,0,0.0011298,14.355,91351,1.6181
96.4,1.1,0,0.0011467,14.432,91043,1.6046
84.6,1.1,0,0.001075,14.943,87912,1.824
46.8,1.1,0,0.0023119,13.143,67913,1.1111
62.4,1.1,0,0.0019114,14.724,76472,1.4037
33.0,0.9,0,0.0032288,12.667,66376,0.91245
27.4,0.8,0,0.0028371,12.802,65874,0.78752
39.6,0.9,0,0.0024509,12.126,67043,1.0562
51.8,1.1,0,0.0021026,14.065,69515,1.2089
46.6,1.1,0,0.0023173,13.173,67885,1.1072
23.2,0.7,0,0.021954,9.8749,65149,0.6709
24.2,0.7,0,0.0031571,12.451,65539,0.72098
70.0,1.1,0,0.0018483,15.208,81627,1.5473
45.0,1.1,0,0.0024229,13.309,67679,1.076
80.6,1.1,0,0.0012399,15.079,86857,1.7653
79.6,1.1,0,0.0020007,14.476,86554,1.7468
25.6,0.8,0,0.0030267,12.911,65723,0.75072
57.2,1.1,0,0.0018828,14.504,73030,1.3107
82.4,1.1,0,0.0012312,14.982,87336,1.793
21.6,0.7,0,0.029329,10.308,64496,0.58552
74.2,1.1,0,0.0018098,15.664,84532,1.6307
65.2,1.1,0,0.0018313,14.899,78361,1.4569
26.8,0.8,0,0.0029121,12.893,65831,0.77547
90.6,1.1,0,0.0012723,14.712,89514,1.5347
9.0,0.6,0,1.6681,13.049,62919,0.22698
92.2,1.1,0,0.001295,14.621,89943,1.5546
13.2,0.7,0,0.013119,13.456,63218,0.38754
56.8,1.1,0,0.0019166,14.411,72765,1.3033
17.2,0.7,0,0.0242,12.025,63604,0.52526
48.6,1.1,0,0.0023584,12.785,68154,1.1466
37.4,0.9,0,0.0026707,12.337,66819,1.0095
76.8,1.1,0,0.002119,14.701,85636,1.6813
32.0,0.9,0,0.0029235,12.968,66280,0.88868
2.6,0.6,0,1.406,14.462,62642,0.13018
7.2,0.6,0,1.9253,13.455,62829,0.23564
5.8,0.6,0,1.8842,13.83,62767,0.19475
34.2,0.9,0,0.0028938,12.657,66501,0.93946
28.6,0.8,0,0.0034402,12.508,65980,0.81341
79.8,1.1,0,0.0019663,14.5,86619,1.7513
68.6,1.1,0,0.0018193,15.2,80677,1.5205
44.4,1.1,0,0.002402,13.389,67599,1.064
19.2,0.7,0,0.015549,11.704,63907,0.61652
10.4,0.6,0,1.1493,12.516,63011,0.27519
48.2,1.1,0,0.0023728,12.821,68097,1.1383
97.0,1.1,0,0.001113,14.419,91196,1.6114
75.8,1.1,0,0.0015303,15.146,85318,1.6601
35.8,0.9,0,0.0027589,12.533,66657,0.97437
8.4,0.6,0,1.8006,13.254,62892,0.21015
99.8,1.1,0,0.0010957,14.247,91917,1.643
84.4,1.1,0,0.0011122,14.907,87858,1.8213
41.4,1.1,0,0.0025225,13.646,67246,1.0067
56.6,1.1,0,0.0019181,14.392,72634,1.2996
51.0,1.1,0,0.0020917,14.045,68996,1.1935
82.6,1.1,0,0.0012061,14.97,87392,1.7959
1.0,0.6,0,1.137,14.633,62613,0.1103
51.4,1.1,0,0.0020587,14.084,69256,1.2012
89.8,1.1,0,0.0012372,14.424,89304,1.8973
20.2,0.7,0,0.040175,10.832,64082,0.52435
45.4,1.1,0,0.0023352,13.309,67730,1.0839
86.0,1.1,0,0.00111,14.762,88269,1.8432
42.8,1.1,0,0.0023001,13.647,67409,1.0337
34.4,0.9,0,0.0029079,12.622,66520,0.94387
19.8,0.7,0,0.014799,11.569,64002,0.64391
58.6,1.1,0,0.0017087,14.687,73956,1.3359
43.2,1.1,0,0.0022522,13.627,67456,1.0412
12.4,0.6,0,0.016875,12.564,63166,0.36193
9.6,0.6,0,1.4815,12.842,62957,0.24647
6.6,0.6,0,1.93,13.648,62806,0.21701
53.6,1.1,0,0.0020567,14.151,70691,1.2445
65.6,1.1,0,0.0018166,14.959,78633,1.4644
40.2,1.1,0,0.0025648,13.83,67105,0.98689
89.4,1.1,0,0.0011912,14.538,89195,1.8913
5.6,0.6,0,1.8633,13.875,62757,0.1896
85.0,1.1,0,0.0011099,14.85,88019,1.8294
46.2,1.1,0,0.0023141,13.21,67831,1.0994
52.2,1.1,0,0.0022408,13.972,69775,1.2167
57.8,1.1,0,0.0019001,14.496,73431,1.3218
32.6,0.9,0,0.0033681,12.666,66340,0.90295
85.2,1.1,0,0.0011275,14.801,88070,1.8321
27.8,0.8,0,0.0028228,12.771,65897,0.79565
12.6,0.7,0,0.013954,13.538,63183,0.36878
27.2,0.8,0,0.0028138,12.87,65863,0.78349
25.8,0.8,0,0.0029292,12.931,65732,0.75487
95.4,1.1,0,0.0011416,14.508,90780,1.5929
1.8,0.6,0,1.2891,14.547,62624,0.11936
65.4,1.1,0,0.0018079,14.941,78497,1.4606
92.8,1.1,0,0.0012866,14.589,90098,1.5622
13.0,0.7,0,0.013506,13.478,63208,0.38133
60.2,1.1,0,0.0017563,14.738,74998,1.3629
3.0,0.6,0,1.4495,14.408,62657,0.13631
31.4,0.9,0,0.0030677,12.972,66223,0.87561
8.2,0.6,0,1.8336,13.331,62883,0.21112
76.0,1.1,0,0.0015411,15.136,85375,1.6636
93.8,1.1,0,0.0012163,14.618,90365,1.5743
80.8,1.1,0,0.0012662,15.015,86911,1.7683
43.4,1.1,0,0.0022924,13.565,67479,1.0449
56.0,1.1,0,0.001852,14.443,72241,1.2884
87.0,1.1,0,0.0011037,14.784,88543,1.8568
86.2,1.1,0,0.0011115,14.789,88321,1.8459
67.6,1.1,0,0.00172,15.131,79988,1.5018
47.4,1.1,0,0.0022624,13.047,67995,1.1227
41.6,1.1,0,0.0024433,13.654,67269,1.0106
42.6,1.1,0,0.0023363,13.637,67385,1.0299
59.2,1.1,0,0.0016706,14.737,74345,1.346
91.6,1.1,0,0.0012686,14.691,89784,1.5472
50.4,1.1,0,0.0021237,14.015,68609,1.1821
97.8,1.1,0,0.0011239,14.343,91403,1.6204
97.4,1.1,0,0.0011252,14.364,91299,1.6159
60.8,1.1,0,0.0018026,14.785,75401,1.3738
70.2,1.1,0,0.0018646,15.208,81761,1.5512
54.0,1.1,0,0.0019805,14.187,70950,1.2521
40.4,1.1,0,0.0025972,13.778,67129,0.98689
32.4,0.9,0,0.0034045,12.7,66321,0.89813
8.8,0.6,0,1.7182,13.112,62909,0.22089
43.6,1.1,0,0.0022373,13.57,67501,1.0487
80.4,1.1,0,0.0012221,15.135,86801,1.7623
38.2,0.9,0,0.002633,12.226,66900,1.0267
62.0,1.1,0,0.0018962,14.728,76204,1.3961
52.0,1.1,0,0.00208,14.1,69645,1.2127
21.2,0.7,0,0.031898,10.423,64360,0.56499
10.8,0.6,0,0.94074,12.309,63036,0.29098
78.0,1.1,0,0.0021606,14.567,86052,1.7097
0.4,0.6,0,1.0046,14.699,62585,0.10176
88.4,1.1,0,0.0012053,14.546,88914,1.8765
96.6,1.1,0,0.0011501,14.419,91094,1.6069
10.0,0.6,0,1.3281,12.693,62985,0.2604
84.0,1.1,0,0.0011453,14.883,87750,1.8159
16.2,0.7,0,0.032322,12.221,63455,0.48019
41.2,1.1,0,0.0025273,13.686,67223,1.0027
7.0,0.6,0,1.931,13.527,62821,0.22924
52.8,1.1,0,0.0022108,14.008,70166,1.2288
85.6,1.1,0,0.001154,14.725,88169,1.8377
73.4,1.1,0,0.001781,15.617,83974,1.6151
18.4,0.7,0,0.018783,11.795,63788,0.58008
68.0,1.1,0,0.0017659,15.155,80261,1.5091
94.8,1.1,0,0.0011517,14.539,90625,1.586
10.6,0.6,0,1.0486,12.41,63023,0.28295
69.2,1.1,0,0.0017787,15.26,81089,1.5319
53.0,1.1,0,0.0021807,14.032,70297,1.2328
48.4,1.1,0,0.0024203,12.765,68125,1.1425
2.8,0.6,0,1.429,14.434,62650,0.13318
63.2,1.1,0,0.001891,14.764,77014,1.4191
17.8,0.7,0,0.021035,11.901,63700,0.55267
77.6,1.1,0,0.0021824,14.596,85915,1.7
54.8,1.1,0,0.0018412,14.341,71463,1.267
33.4,0.9,0,0.0030686,12.67,66416,0.92166
65.8,1.1,0,0.0017698,15.011,78770,1.4682
98.6,1.1,0,0.0011006,14.307,91609,1.6294
27.0,0.8,0,0.0028428,12.896,65850,0.7795
61.4,1.1,0,0.0018327,14.779,75804,1.3848
96.2,1.1,0,0.0011545,14.439,90992,1.6023
64.0,1.1,0,0.0017627,14.916,77555,1.4342
48.8,1.1,0,0.0023536,12.766,68184,1.1506
11.0,0.6,0,0.82618,12.221,63049,0.29925
72.8,1.1,0,0.0018886,15.483,83560,1.6034
10.2,0.6,0,1.2424,12.601,62998,0.26768
91.4,1.1,0,0.0012991,14.657,89730,1.5447
35.0,0.9,0,0.0028304,12.584,66575,0.95712
89.2,1.1,0,0.0012092,14.527,89139,1.8884
38.0,0.9,0,0.002637,12.252,66880,1.0224
99.4,1.1,0,0.0011046,14.276,91814,1.6385
37.6,0.9,0,0.0026251,12.33,66840,1.0138
34.0,0.9,0,0.0028986,12.686,66480,0.93506
11.8,0.6,0,0.29866,11.855,63109,0.33475
9.8,0.6,0,1.4079,12.776,62971,0.25333
69.0,1.1,0,0.0017801,15.255,80953,1.5281
47.2,1.1,0,0.0022682,13.118,67968,1.1188
50.6,1.1,0,0.0021042,14.023,68737,1.1859
4.4,0.6,0,1.6703,14.13,62709,0.16198
62.8,1.1,0,0.0018584,14.781,76742,1.4114
92.0,1.1,0,0.0012802,14.648,89890,1.5521
32.2,0.9,0,0.0033777,12.755,66301,0.89331
55.4,1.1,0,0.0018489,14.413,71851,1.2777
88.8,1.1,0,0.0012328,14.534,89026,1.8824
38.4,0.9,0,0.00261,12.212,66920,1.031
77.2,1.1,0,0.0020502,14.718,85775,1.6906
58.8,1.1,0,0.0016705,14.719,74086,1.3393
82.8,1.1,0,0.0011893,14.941,87447,1.7988
68.8,1.1,0,0.0018166,15.218,80815,1.5244
51.6,1.1,0,0.0020857,14.062,69386,1.205
61.8,1.1,0,0.0018505,14.765,76071,1.3923
30.0,0.8,0,0.0030736,12.383,66098,0.84503
26.2,0.8,0,0.0029548,12.926,65764,0.76317
30.4,0.9,0,0.0029768,13.207,66140,0.85368
72.0,1.1,0,0.0017874,15.491,83005,1.5872
20.0,0.7,0,0.014009,11.561,64033,0.65311
74.6,1.1,0,0.0017425,15.752,84810,1.6385
17.6,0.7,0,0.022262,11.932,63669,0.54352
91.8,1.1,0,0.0012492,14.692,89837,1.5496
66.2,1.1,0,0.0018159,14.986,79045,1.4758
43.0,1.1,0,0.0022839,13.634,67433,1.0374
93.4,1.1,0,0.0012284,14.606,90257,1.5695
24.4,0.7,0,0.0031577,12.443,65592,0.72538
100.0,1.1,0,0.0010837,14.245,91968,1.6452
4.2,0.6,0,1.6269,14.168,62698,0.1579
37.8,0.9,0,0.0026548,12.27,66860,1.0181
14.4,0.7,0,0.011639,13.364,63315,0.42446
21.4,0.7,0,0.029761,10.382,64426,0.57522
54.2,1.1,0,0.0020223,14.156,71079,1.2559
69.8,1.1,0,0.0018267,15.226,81493,1.5434
87.2,1.1,0,0.0010846,14.79,88598,1.8595
20.6,0.7,0,0.035933,10.637,64183,0.53502
